00_20250113025442.jpg>Humidity:64,Temp:32.9,Green:0,Blue:0,Gas:26815,Pressure:1007.61,Red:0,Clear:0,CO2:1364,Lux:0.97
00_20250113025442.jpg>Green:0,Pressure:1007.61,Red:0,Clear:0,Gas:26815,Lux:0.97,Humidity:64,Blue:0,CO2:1364,Temp:32.9
00_20250113025442.jpg>Red:0,Temp:32.9,Pressure:1007.61,Humidity:64,Lux:0.97,Green:0,Clear:0,Gas:26815,CO2:1364,Blue:0
00_20250113032449.jpg>Pressure:1007.53,CO2:2052,Green:0,Gas:23454,Clear:0,Humidity:64,Blue:0,Red:0,Lux:0.95,Temp:32.76
00_20250113035458.jpg>Red:0,Gas:22357,Blue:0,Humidity:63,Green:0,Temp:33.01,Pressure:1007.14,Clear:0,Lux:0.95,CO2:2365
00_20250113055529.jpg>Clear:0,Red:0,Green:0,Blue:0,Temp:33.25,Pressure:1006.51,CO2:1515,Humidity:62,Gas:25560,Lux:0.89
00_20250113055529.jpg>Red:0,Lux:0.89,Gas:25560,CO2:1515,Green:0,Clear:0,Pressure:1006.51,Humidity:62,Temp:33.25,Blue:0
00_20250113055529.jpg>Clear:0,Humidity:62,Green:0,Blue:0,Lux:0.89,CO2:1515,Red:0,Temp:33.25,Gas:25560,Pressure:1006.51
00_20250113055529.jpg>Humidity:62,CO2:1515,Clear:0,Green:0,Blue:0,Lux:0.89,Temp:33.25,Red:0,Pressure:1006.51,Gas:25560
00_20250113062537.jpg>Red:0,Blue:0,CO2:1377,Lux:0.97,Clear:0,Humidity:60,Pressure:1006.89,Temp:33.77,Gas:26477,Green:0
00_20250113062537.jpg>CO2:1377,Clear:0,Pressure:1006.89,Red:0,Green:0,Gas:26477,Humidity:60,Blue:0,Lux:0.97,Temp:33.77
00_20250113072552.jpg>Green:59,Gas:24263,CO2:1944,Humidity:61,Lux:69.0,Blue:72,Temp:32.89,Clear:136,Pressure:1007.26,Red:29
00_20250113075600.jpg>Clear:547,Red:128,Green:241,Blue:271,Temp:32.91,Pressure:1007.3,CO2:1726,Humidity:61,Gas:25314,Lux:314.75
00_20250113075600.jpg>Green:241,Clear:547,Lux:314.75,Gas:25314,Blue:271,Humidity:61,CO2:1726,Temp:32.91,Red:128,Pressure:1007.3
00_20250113075600.jpg>Gas:25314,Humidity:61,Pressure:1007.3,CO2:1726,Red:128,Lux:314.75,Clear:547,Blue:271,Temp:32.91,Green:241
00_20250113075600.jpg>Green:241,CO2:1726,Lux:314.75,Clear:547,Gas:25314,Pressure:1007.3,Humidity:61,Blue:271,Red:128,Temp:32.91
00_20250113075600.jpg>CO2:1726,Temp:32.91,Red:128,Clear:547,Green:241,Pressure:1007.3,Gas:25314,Blue:271,Lux:314.75,Humidity:61
00_20250113075600.jpg>Temp:32.91,Gas:25314,Blue:271,Clear:547,Lux:314.75,Pressure:1007.3,Red:128,CO2:1726,Green:241,Humidity:61
00_20250113075600.jpg>Lux:314.75,CO2:1726,Pressure:1007.3,Red:128,Clear:547,Green:241,Humidity:61,Temp:32.91,Blue:271,Gas:25314
00_20250113075600.jpg>Green:241,Clear:547,Gas:25314,Blue:271,Pressure:1007.3,Humidity:61,Red:128,Temp:32.91,Lux:314.75,CO2:1726
00_20250113075600.jpg>Pressure:1007.3,Green:241,Humidity:61,Lux:314.75,Clear:547,Gas:25314,Red:128,Temp:32.91,Blue:271,CO2:1726
00_20250113075600.jpg>Blue:271,Green:241,Lux:314.75,Humidity:61,Temp:32.91,Clear:547,Gas:25314,Red:128,Pressure:1007.3,CO2:1726
00_20250113082607.jpg>Clear:959,Red:228,Green:427,Blue:467,Temp:33.78,Pressure:1007.51,CO2:2194,Humidity:60,Gas:22238,Lux:538.2
00_20250113082607.jpg>CO2:2194,Clear:959,Green:427,Blue:467,Pressure:1007.51,Humidity:60,Gas:22238,Lux:538.2,Red:228,Temp:33.78
00_20250113082607.jpg>Humidity:60,Temp:33.78,CO2:2194,Clear:959,Green:427,Lux:538.2,Gas:22238,Blue:467,Red:228,Pressure:1007.51
00_20250113082607.jpg>Clear:959,Blue:467,Pressure:1007.51,Gas:22238,Temp:33.78,Lux:538.2,Green:427,CO2:2194,Red:228,Humidity:60
00_20250113082607.jpg>Pressure:1007.51,Humidity:60,Green:427,Gas:22238,CO2:2194,Red:228,Blue:467,Lux:538.2,Clear:959,Temp:33.78
00_20250113082607.jpg>Clear:959,Gas:22238,CO2:2194,Temp:33.78,Lux:538.2,Blue:467,Pressure:1007.51,Red:228,Humidity:60,Green:427
00_20250113082607.jpg>Temp:33.78,Pressure:1007.51,Clear:959,Humidity:60,CO2:2194,Green:427,Gas:22238,Red:228,Blue:467,Lux:538.2
00_20250113082607.jpg>CO2:2194,Temp:33.78,Red:228,Clear:959,Blue:467,Gas:22238,Pressure:1007.51,Lux:538.2,Green:427,Humidity:60
00_20250113082607.jpg>Temp:33.78,Red:228,Humidity:60,Gas:22238,Green:427,Clear:959,Blue:467,CO2:2194,Pressure:1007.51,Lux:538.2
